"📍 See this list as a map (in more languages, too!)
📍 Vea esta lista como un mapa (¡en más idiomas también!)",,,Learn more about MALAN here!,Check out our directory here!,,,,,,,,,,
Submit an update,,,This is not an exhaustive list. Info will be updated as we are able to. Please reach out to the organizers directly for clarifying questions. ,,,,,,,,,,,
Location,Name,Dates,Aid Type,Address,Volunteers Needs,Accepting ,Providing,Notes,Source,Closed ,LINK (DO NOT HYPERLINK),Last Updated,,
Pasadena,National Day Laborer Organizing Network / Pasadena Community Job Center,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday","Free Items, Distribution Hub","500 N Lake Ave, Pasadena, California 91101","8 AM, 12 PM, 4 PM
Fire brigades (8am shift preferred), Distribution, Traffic control, Clean-up
","canned goods
 beans
rice
bread
baby diapers from new born to 5yrs old
 ormula 
water
dog food
hygiene products

NO CLOTHING, SHOES, TOYS

1/20 9am-4pm","Baby wipes (priority), canned goods, gatorades, water, fresh produce, toilet paper, paper towels, hand soap, dish soap, plates, travel size shampoo, bandaids, sunscreen, work helmets (red preferred), vitamins, pain meds, antacids",DELIVER BETWEEN 9A AND 4P,Instagram,,https://www.instagram.com/daylaborernetwork/,1/20/2025 6:30 PM,,
DTLA,Snail Farm,,Donation Drives,"501 S Avenue 17, Los Angeles, California 90031",,"CLOSED FOR DONATIONS, REOPENING MONDAY 01/20",,"Entrance is on Mozart St, Open 10am - 6pm",No socials,,No socials,1/18 9:00 PM,,
Echo Park,LA Dream Center Emergency Shelter,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday","Shelter, Free Items, Donation Drives","2301 Bellevue Avenue, Los Angeles, California 90026","Collecting and distributing donations 9am-7pm every day. 
Email volunteers@dreamcenter.org","Toilet paper, paper towels, air purifiers, canned goods, non perishables, individually wrapped snacks, to-go boxes, large trash bags, work gloves, safety glasses/goggles, protective coveralls, new socks, new underwear",Free essentials and items,"Email volunteers@dreamcenter.org to confirm a timeslot

1/20-1/25 
9 AM to 7 PM ",Instagram,,https://www.instagram.com/recreationcafe/,1/20 8:00 AM,,
Remote," L.A. Arts Community Fire Relief Fund (Hammer Museum, LACMA, MOCA",,Direct Funds/Grants,,,Financial Donations,"emergency relief for artists and arts workers in all disciplines who have lost residences, studios, or livelihoods or have otherwise been impacted by the devastating Los Angeles fires in January 2025.",Apply for Funds starting Mon Jan/20 here,Website,,https://hammer.ucla.edu/la-arts-community-fire-relief-fund?ct=t(COMMS_20250115_LA%20Fire%20Community%20Announcement),1/18 12:00 AM,,
Baldwin Park,Black Lives Matter - LA and Black Lives Matter - Pasadena ,Jan 20 Monday,Donation Drives,"3423 W. 43rd Place, Los Angeles, California 90008",,"Clothes (new only please), Coats and jackets, Air mattresses, Blankets and pillows, Towels and washcloths, Uber eats/doordash giftcards, Grocery gift cards, Toiletries (toothbrushes, toothpaste, soap, lotion, deodorant, feminine products), Hair brushes, combs, shampoo, conditioner, Black hair care products, Air purifiers, Masks, Vitamins and supplements (ginger, turmeric), Sanitizer and sanitizing wipes, Diapers and baby wipes, Small, comforting toys, Black-themed books (adult and children), New and gently used backpacks, suitcases and gym bags, Shoes, new socks, New undergarments for adults and children","N95 masks, cleaning supplies and Black haircare products","Monday, Jan 20, 4 PM - 8 PM
Drop-off Location is BLMLA’s Center for Black Power

Preparedness and Organizing to Fight Fascism and Fires
Monday, 1/20/25 from 4-8 pm

More info, contact info@blmla.org

Donate Today - 100% of donations through 1/21/2025 will go directly to those impacted by the fire: gofundme.com/blmla ",Instagram,,https://www.instagram.com/p/DE09zVKPRBY/?igsh=NTc4MTIwNjQ2YQ%3D%3D,1/18 6:15 PM,,
Greater LA Area,Zello Support,,"Donation Drives, Free Items, Shelter","4123 West Olive Ave, Burbank, CA 91505 ",,"furniture, lighting, art, smalls, beds, plates, glassware, cookware, utensils, TVs, electronics

Please NO clothes, toiletries, food, or every day essentials.",,"For Help: We ask you to fill out a short questionnaire.

To Donate: Fill out this short questionnaire to coordinate drop off/pick up

For any immediate questions, please direct message us.",Zello,,https://zellosupport.com,1/20 6:45 PM,,
DTLA,9ThirtyLA,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday, Jan 27 Monday, Jan 31 Friday, Jan 30 Thursday, Jan 29 Wednesday, Jan 28 Tuesday","Shelter, Donation Drives, Free Items","930 Mateo Street, Los Angeles, California 90021","VOLUNTEERS NEEDED
10 AM - 6 PM

sorting, distribution, drivers, outreach, coordinators, spanish speakers","12 - 6 PM

ONLY NEW ITEMS

Most Urgent: toilet paper, deodorant, laundry detergent, clorox wipes, all purpose cleaner, distilled water, formula, razor & shaving cream, boxer briefs (all ages), luggage/duffel bags/backpacks, school supplies, curly hair products, large ziploc bags, sharpies, thick painters tapes, name tags, clothing racks, hangers, handwarmers, underwear/socks/bras, deodorant, hand soap, large tote bags, charging cords/blocks

See Instagram story for full list.","Evacuation shelter site, SPACE AVAILABLE

Donation pick up from 10 AM - 8 PM

Essential supplies delivery sign up available on form in notes ","Until Jan 31, 2024 (maybe later) 
Individuals & Families Welcome
For More Information Contact: 9ThirtyLA Evacuation Center, Evacuation2025@gmail.com ,
info@lovechild.la, 
For volunteer sign ups, donation links, and more. ",Instagram,,https://www.instagram.com/9thirtyla/,1/20/2025 7:30 AM,,
Pasadena,Whimsy,Jan 21 Tuesday,"Free Items, Donation Drives","40 Mills Pl, Pasadena, CA 91105",,"1/19 NEW ITEMS ONLY

cleaning supplies, bedding, hygine as cosmetics, apparel and shoes 

see IG for detailed and up-to-date list","cleaning supplies, bedding, hygine as cosmetics, apparel and shoes 
1-13-1/21
11am-7pm",,Instagram,,https://www.instagram.com/whimsy.pasadena?igsh=NTc4MTIwNjQ2YQ%3D%3D,1/19 9:45 PM,,
Culver City,Rainbow Acres Natural Foods,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday, Jan 27 Monday","Donation Drives, Free Items, Distribution Hub","13208 W Washington Blvd, Los Angeles, California 90066","Drivers needed all week

Volunteer hours: 
Mon-Fri 10 am - 4 pm
Sat-Sun 10 am - 6 pm","pantry items, diabetic friendly food, pet food, safety and first aid items, NEW clothing only, laundry detergent ","Care packages to individuals and redistributing to shelters. Come pick up onsite

Mon-Fri 10am - 4pm
Sat-Sun 10am - 6pm","
For now though 1/27

Will continue to update. 

contact: Richard - Richardh@rainbowacresca.com",Rainbow Acres,,https://www.instagram.com/p/DEnm8EAS44i/,1/20/2025 5:30 PM,,
Hollywood,The Hole Gallery,Jan 21 Tuesday,Free Items,"844 N La Brea Ave, 
Los Angeles, CA 90038",,,"Free store

new and genlty used clothing, hygine products, foo, suitcases

masks, snacks, and wifi charging","10am-6pm until Tuesday, Jan 21",IG @theholenyc,,,1/18 8:00 AM,,
Boyle Heights,Esquina Bicycle Shop,Jan 21 Tuesday,"Donation Drives, Distribution Hub","2228 Whittier Blvd, Los Angeles, California 90026",,"PPE, N95 respirators, P100 masks, high quality HEPA air purifiers, electric heaters, water, pet food, non-perishable food, gift cards, portable chargers, phone charging cables, detergent, personal hygiene product, diapers, baby formula, menstrual hygiene, toilet paper, paper towels, body wipes, dental hygiene","Water, PPE, portable chargers, gift cards, detergent, shelf-stable foods, n95 masks, 3m p100 masks, PPE, personal hygiene products, batteries, diapers, first aid supplies, toilet paper, paper towels, body wipes, baby formula, cat & dog food, high quality HEPA air purifiers, electric heaters from  

","Jan 20 Monday 12-14pm

Jan 21Tuesday 12-5pm (last day to donate!)",Instagram,1,https://www.instagram.com/p/DE5MZNDx136/,1/20 7:30 AM,,
Larchmont,Chevalier's Books,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday",Donation Drives,"133 N Larchmont Blvd, Los Angeles, CA 90004",,Children's and YA books that will be delivered to kids affected by fires,,Collecting books starting 1/17 until 01/23,Instagram,,https://www.instagram.com/p/DEqcA3vSXRJ/,01/20 5:30 PM,,
Koreatown,Anderson Munger Family YMCA,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday","Services, Donation Drives","4301 W. Third Street, Los Angeles, California 90020","01/18 9a-1p
01/19 NO VOLUNTEERS NEEDED","cleaning suppleis, laundy detergent, energy drink, hydration drinks, items for teens, mediaum boxes","Care packages
","TO RECEIVE CARE PACKAGE, MUST FILL OUT FORM. Assemblymember Mark Gonzalez and his team will be onsite to support constituents, ensuring access to critical resources and government services. Assistance available with services like replacing government documents such as Driver’s licenses, Medi-Cal cards, CalFresh cards, and more. No appointment is necessary! 

For additional information, please contact Assemblymember Gonzalez’s office at (213) 620-4646.",Instagram,,https://www.instagram.com/amfymca_ktown/,1/19 9:45 PM,,
Pasadena,Remainders Creative Reuse,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday","Free Items, Wifi/Charging","787 East Washington Blvd, Suite 101, Pasadena, California 91104","From Jan 20-24, 10 AM–2 PM, help create tote bags and PJ pants for fire relief. 
100% of proceeds will support our displaced team members and community rebuilding efforts. ",,,"Tues-Sat: 10am-6pm
👉 Sun: 10am-4pm
👉 Mon: Closed",Website,,https://remainderspas.org/,1/19 9:45 PM,,
